3.189,0.443
3.599,71.521
3.705,72.381
3.836,36.727
4.132,4.856
4.292,32.278
4.889,2.056
5.069,28.088
5.399,8.033
5.716,2.630
6.232,2.720
6.527,2.372
7.057,3.737
7.677,1.731
8.249,1.874
8.617,1.631
9.710,1.494
10.821,4.393
11.827,1.774
12.690,5.428
14.863,8.764
15.468,1.206
16.752,1.768
17.386,3.561
17.975,4.889
18.517,91.089
19.295,2.327
19.658,2.486
20.099,1.820
20.608,1.544
21.184,3.320
21.510,1.714
21.941,1.786
22.290,1.418
22.581,2.020
23.044,1.425
23.268,1.573
23.723,16.033
24.182,1.455
24.599,1.408
24.814,1.337
25.387,1.319
25.661,1.176
26.192,1.420
26.630,1.603
27.290,1.682
27.816,1.526
28.210,1.724
29.294,1.349
30.517,1.299
31.199,1.118
32.265,2.994
32.565,1.215
32.972,1.193
34.040,2.507
35.019,2.274
35.582,3.669
36.018,1.133
37.004,1.220
37.748,1.944
38.410,1.814
38.991,1.773
39.219,7.695
39.437,7.949
40.063,2.593
40.597,4.834
40.838,2.037
40.990,2.312
41.354,3.390
41.773,1.883
41.928,1.558
42.134,1.474
42.443,1.563
42.696,1.377
42.963,1.875
43.066,1.295
43.170,1.253
43.278,1.232
43.385,1.284
43.512,1.209
43.641,1.167
43.808,1.145
43.935,1.313
44.121,1.187
44.339,0.956
44.699,0.907
45.098,1.260
45.342,1.951
45.497,1.135
45.660,1.526
45.846,2.240
46.398,1.803
46.560,0.910
46.798,0.474
47.040,0.617
47.190,1.070
47.350,0.671
47.674,1.211
48.063,4.149
48.497,0.652
48.749,0.380
