Name;GSHW;AluW;FW;HW;DW
C1;44.8;239.7;65.70;88.00;160.40
C2;55.6;237.8;70.70;98.10;148.20
C3;44.7;193.8;48.70;99.20;114.20
R1;46.1;206.4;26.60;40.40;168.10
R2;53.8;314.2;78.30;125.50;199.50
R3;48.0;259.1;70.80;105.50;162.70
H1;49.2;315.2;90.60;129.30;193.80
H2;53.1;304.1;74.40;122.80;201.70
H3;47.2;287.4;59.60;86.20;208.70
CTRL1;53.3;275.5;73.50;118.80;170.60
CTRL2;51.2;259.1;90.40;134.00;138.50
CTRL3;48.2;447.8;148.00;227.70;237.10
