Name;GSHW;AluW;FW;HW;DW
C1;53.7;285.4;37.40;55.60;238.20
C2;51.2;307.5;33.90;53.10;258.50
C3;52.7;487.4;87.20;120.40;375.90
R1;50.7;399.5;62.40;99.90;306.60
R2;56.1;232.4;72.70;123.50;112.70
R3;44.1;230.6;50.70;87.60;147.30
H1;46.8;227.7;54.30;82.00;154.80
H2;51.2;300.1;70.10;112.10;195.80
H3;53.6;410.0;79.30;114.80;303.20
CTRL1;49.1;382.4;122.70;175.60;219.50
CTRL2;46.9;373.8;100.40;154.40;233.80
CTRL3;55.6;297.2;79.80;117.60;193.70
