Name;GSHW;AluW;FW;HW;DW
C1;48.8;365.7;82.20;116.30;256.80
C2;42.9;296.3;62.80;96.40;207.20
C3;47.5;266.3;60.20;84.20;220.90
R1;54.7;483.6;56.00;75.80;413.40
R2;49.7;302.1;110.30;131.30;181.20
R3;46.5;346.1;77.60;102.50;252.80
H1;50.4;438.5;63.60;90.70;254.70
H2;56.0;330.9;46.00;58.70;177.30
H3;49.8;283.3;69.80;98.70;191.10
CTRL1;47.5;282.2;47.30;62.30;224.30
CTRL2;49.9;293.5;48.30;78.20;222.20
CTRL3;45.3;266.2;41.30;55.00;215.20
