Name;GSHW;AluW;FW;HW;DW
C1;47.3;409.8;30.10;47.90;306.20
C2;55.1;327.4;43.90;68.50;264.20
C3;51.6;323.7;104.20;144.30;189.60
R1;43.8;320.6;34.80;48.10;276.20
R2;54.9;380.3;76.30;98.40;287.40
R3;51.1;380.4;46.20;83.80;300.50
H1;42.0;306.9;40.20;49.70;260.10
H2;41.7;353.7;40.10;45.10;312.30
H3;55.2;341.5;20.30;48.00;297.10
CTRL1;43.4;441.6;25.80;55.20;390.00
CTRL2;51.0;335.1;34.90;65.60;273.80
CTRL3;54.3;333.8;55.40;67.00;271.70
