row_id;combination;concs;rep;appl;day2;day7;biomass
VIb4;VI;b;4;46;NA;28;NA
VIb5;VI;b;5;32;NA;25;NA
VIc1;VI;c;1;43;NA;18;NA
VIc2;VI;c;2;60;NA;19;NA
VIc3;VI;c;3;52;NA;11;NA
VIc4;VI;c;4;59;NA;24;NA
VIc5;VI;c;5;49;NA;18;NA
VId1;VI;d;1;40;NA;27;NA
VId2;VI;d;2;27;NA;16;NA
VId3;VI;d;3;24;NA;16;NA
VId4;VI;d;4;35;NA;15;NA
VId5;VI;d;5;31;NA;10;NA
VIe1;VI;e;1;40;NA;6;NA
VIe2;VI;e;2;50;NA;7;NA
VIe3;VI;e;3;38;NA;2;NA
VIe4;VI;e;4;48;NA;2;NA
VIe5;VI;e;5;69;NA;11;NA
VIIa1;VII;a;1;48;NA;35;NA
VIIa2;VII;a;2;43;NA;29;NA
VIIa3;VII;a;3;44;NA;30;NA
VIIa4;VII;a;4;66;NA;33;NA
VIIa5;VII;a;5;48;NA;28;NA
VIIb1;VII;b;1;37;NA;27;NA
VIIb2;VII;b;2;28;NA;8;NA
VIIb3;VII;b;3;38;NA;22;NA
VIIb4;VII;b;4;45;NA;30;NA
VIIb5;VII;b;5;32;NA;18;NA
VIIc1;VII;c;1;32;NA;14;NA
VIIc2;VII;c;2;35;NA;11;NA
VIIc3;VII;c;3;39;NA;13;NA
VIIc4;VII;c;4;29;NA;18;NA
VIIc5;VII;c;5;36;NA;14;NA
VIId1;VII;d;1;23;NA;13;NA
VIId2;VII;d;2;25;NA;14;NA
VIId3;VII;d;3;39;NA;11;NA
VIId4;VII;d;4;27;NA;16;NA
VIId5;VII;d;5;44;NA;13;NA
VIIe1;VII;e;1;16;NA;8;NA
VIIe2;VII;e;2;35;NA;2;NA
VIIe3;VII;e;3;17;NA;2;NA
VIIe4;VII;e;4;26;NA;9;NA
VIIe5;VII;e;5;29;NA;4;NA
VIIIa1;VIII;a;1;29;NA;24;NA
VIIIa2;VIII;a;2;20;NA;13;NA
VIIIa3;VIII;a;3;30;NA;22;NA
VIIIa4;VIII;a;4;30;NA;25;NA
VIIIa5;VIII;a;5;33;NA;26;NA
VIIIb1;VIII;b;1;30;NA;24;NA
VIIIb2;VIII;b;2;26;NA;19;NA
VIIIb3;VIII;b;3;16;NA;13;NA
VIIIb4;VIII;b;4;43;NA;29;NA
VIIIb5;VIII;b;5;41;NA;22;NA
VIIIc1;VIII;c;1;37;NA;23;NA
VIIIc2;VIII;c;2;25;NA;11;NA
VIIIc3;VIII;c;3;36;NA;18;NA
VIIIc4;VIII;c;4;48;NA;28;NA
VIIIc5;VIII;c;5;36;NA;18;NA
VIIId1;VIII;d;1;31;NA;25;NA
VIIId2;VIII;d;2;31;NA;9;NA
VIIId3;VIII;d;3;21;NA;11;NA
VIIId4;VIII;d;4;34;NA;23;NA
VIIId5;VIII;d;5;32;NA;21;NA
VIIIe1;VIII;e;1;17;NA;7;NA
VIIIe2;VIII;e;2;31;NA;5;NA
VIIIe3;VIII;e;3;30;NA;3;NA
VIIIe4;VIII;e;4;34;NA;12;NA
VIIIe5;VIII;e;5;31;NA;6;NA
CTRL1;CTRL;f;1;25;NA;21;NA
CTRL2;CTRL;f;2;21;NA;19;NA
CTRL3;CTRL;f;3;21;NA;18;NA
CTRL4;CTRL;f;4;19;NA;14;NA
CTRL5;CTRL;f;5;17;NA;14;NA
