"substances","sr2","sr7","sr7.sd","sr2.sd"
"C",0.144017094017094,0.0912393162393162,0.065104702222211,0.100145996135847
"CTRL",1,1,0,0
"H",0.852777777777778,0.640277777777778,0.187433115642637,0.0590563656263036
"MA",0.195075757575758,0.128787878787879,0.0437386567567898,0.037306279552258
"R",0.695707070707071,0.672979797979798,0.161161766521302,0.160686245150839
"TA",0.844318181818182,0.741540404040404,0.118350318021276,0.129012727072008
